Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) ,SMS.I-1:-2 (pct)  (silt),SMS.I-1:-8 (pct)  (silt),SMS.I-1:-20 (pct)  (silt),STO.I-1:-2 (degC) ,STO.I-1:-8 (degC) ,STO.I-1:-20 (degC) ,SAL.I-1:-2 (gram) ,SAL.I-1:-8 (gram) ,SAL.I-1:-20 (gram) ,RDC.I-1:-2 (unit) ,RDC.I-1:-8 (unit) ,RDC.I-1:-20 (unit) ,BATT.I-1 (volt) 
820,2012-01-01,,3.5,6.5,-7.9,-2,-9.1,-6.4,19,8.3,11,0.4,0.1,0.6,1.6,0.1,0.1,0.2,6.72,7.76,3.94,12.72
820,2012-01-02,,3.5,6.5,2.2,8.2,-8.3,0.6,18,7.2,10.1,0.5,0,0.6,1.6,0.2,0.2,0.1,6.31,7.38,3.97,12.74
820,2012-01-03,,3.5,6.5,4,11.6,0.4,4.4,18,6.8,9.9,0,0,0.6,1.6,0.2,0.2,0.2,6.14,7.33,3.71,12.78
820,2012-01-04,,3.5,6.5,-0.2,9.8,-0.6,3.8,19,7.4,10.9,0,0,0.6,1.6,0.1,0.1,0.2,6.37,7.71,3.8,12.76
820,2012-01-05,,3.5,6.5,1.5,11.2,-1.3,3.1,18,7.3,10.8,0,0,0.6,1.6,0.1,0.1,0.2,6.34,7.65,3.79,12.78
820,2012-01-06,,3.5,6.5,1.3,10.7,0.7,4,18,6.5,10.2,0.4,0.1,0.6,1.6,0.2,0.2,0.2,6.06,7.42,3.93,12.78
820,2012-01-07,,3.5,6.5,-2.8,6.2,-2.8,1.2,19,5.9,10,0,0,0.6,1.6,0.2,0.2,0.2,5.82,7.37,3.81,12.77
820,2012-01-08,,3.6,6.6,-9.3,-0.8,-9.4,-4.9,18,6,10.2,0.2,0,0.6,1.6,0.2,0.2,0.2,5.87,7.42,3.88,12.75
820,2012-01-09,,3.6,6.6,-6.1,-1.9,-11.9,-6.8,20,6.2,10.6,0.1,0,0.6,1.5,0.2,0.1,0.2,5.94,7.57,3.86,12.75
820,2012-01-10,,3.6,6.6,-2.8,6.8,-7,-2.1,20,5.8,9.9,0.1,0,0.6,1.5,0.2,0.2,0.2,5.78,7.31,3.84,12.76
820,2012-01-11,,3.6,6.6,-3.3,7,-5.6,-0.6,19,6.3,10.8,0,0,0.5,1.5,0.1,0.1,0.2,5.96,7.66,3.75,12.76
820,2012-01-12,,3.6,6.6,-11.6,-0.6,-12.2,-7.5,17,4.8,9.9,0.5,-0.1,0.5,1.5,0.2,0.2,0.1,5.42,7.31,3.98,12.72
