

Utah (PST) SNOTEL Site Timpanogos Divide - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Mon Nov 25 14:58:11 GMT-08:00 2019. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) ,SMS.I-1:-2 (pct)  (silt),SMS.I-1:-8 (pct)  (silt),SMS.I-1:-20 (pct)  (silt),STO.I-1:-2 (degC) ,STO.I-1:-8 (degC) ,STO.I-1:-20 (degC) ,SAL.I-1:-2 (gram) ,SAL.I-1:-8 (gram) ,SAL.I-1:-20 (gram) ,RDC.I-1:-2 (unit) ,RDC.I-1:-8 (unit) ,RDC.I-1:-20 (unit) ,BATT.I-1 (volt) ,
820,2011-01-01,,    22.5,    29.0,   -22.6,   -11.8,   -23.5,   -18.1,      77,    20.4,    22.0,    10.7,     0.8,     1.3,     2.2,     0.1,     0.1,     0.1,   11.99,   12.80,    7.60,   12.75,
820,2011-01-02,,    22.5,    29.0,   -14.6,    -8.8,   -23.9,   -17.3,      75,    20.4,    22.3,    10.5,     0.8,     1.3,     2.2,     0.1,     0.1,     0.1,   11.98,   12.99,    7.53,   12.71,
820,2011-01-03,,    22.5,    29.0,    -6.4,     0.8,   -15.8,    -7.4,      73,    20.4,    21.8,    10.7,     0.8,     1.3,     2.1,     0.1,     0.1,     0.1,   11.97,   12.72,    7.62,   12.78,
820,2011-01-04,,    22.5,    29.0,    -9.4,     0.5,   -11.8,    -7.4,      72,    20.5,    22.0,    10.7,     0.7,     1.3,     2.1,     0.1,     0.1,     0.1,   12.02,   12.84,    7.60,   12.76,
820,2011-01-05,,    22.5,    29.0,   -12.4,    -5.0,   -14.1,   -10.6,      71,    20.5,    21.9,    10.7,     0.8,     1.3,     2.1,     0.1,     0.1,     0.1,   12.02,   12.74,    7.61,   12.76,
820,2011-01-06,,    22.5,    29.0,    -7.3,    -0.4,   -13.8,    -7.9,      70,    20.3,    21.9,    10.4,     0.7,     1.3,     2.1,     0.1,     0.1,     0.1,   11.92,   12.76,    7.49,   12.77,
820,2011-01-07,,    22.5,    29.0,    -3.7,     3.3,    -9.2,    -3.5,      70,    20.3,    21.7,    10.4,     0.7,     1.2,     2.1,     0.1,     0.1,     0.1,   11.91,   12.65,    7.50,   12.77,
820,2011-01-08,,    22.5,    29.0,    -1.8,     5.4,    -4.0,    -0.2,      69,    20.2,    21.7,    10.5,     0.7,     1.2,     2.1,     0.1,     0.1,     0.1,   11.87,   12.68,    7.52,   12.78,
820,2011-01-09,,    22.5,    29.0,    -6.3,     3.5,    -6.2,    -2.5,      69,    20.4,    22.1,    10.5,     0.7,     1.2,     2.1,     0.1,     0.1,     0.1,   12.01,   12.85,    7.53,   12.78,
820,2011-01-10,,    22.6,    29.1,   -17.9,    -4.7,   -18.8,   -11.8,      70,    20.6,    22.1,    10.8,     0.7,     1.2,     2.1,     0.1,     0.1,     0.1,   12.06,   12.89,    7.64,   12.74,
820,2011-01-11,,    22.6,    29.1,   -19.1,    -7.6,   -19.2,   -15.6,      69,    20.4,    22.2,    10.7,     0.7,     1.2,     2.0,     0.1,     0.1,     0.1,   11.99,   12.91,    7.60,   12.71,
820,2011-01-12,,    22.6,    29.1,    -5.9,    -3.0,   -19.2,   -10.5,      68,    20.4,    22.1,    10.8,     0.7,     1.2,     2.0,     0.1,     0.1,     0.1,   12.00,   12.89,    7.65,   12.75,
820,2011-01-13,,    22.6,    29.1,    -1.6,     2.5,    -7.4,    -3.2,      67,    20.4,    22.0,    10.5,     0.7,     1.2,     2.0,     0.1,     0.1,     0.2,   11.97,   12.80,    7.52,   12.78,
820,2011-01-14,,    23.8,    30.0,    -1.8,     7.0,    -4.9,    -0.5,      68,    20.7,    22.1,    11.0,     0.7,     1.2,     2.0,     0.1,     0.1,     0.1,   12.15,   12.88,    7.71,   12.78,
820,2011-01-15,,    23.8,    30.0,    -4.2,     4.9,    -4.2,    -1.5,      67,    20.4,    22.0,    10.7,     0.7,     1.2,     2.0,     0.1,     0.1,     0.1,   12.01,   12.84,    7.60,   12.78,
820,2011-01-16,,    23.8,    30.0,    -1.4,     4.3,    -4.4,    -0.8,      67,    20.6,    22.1,    10.9,     0.7,     1.2,     2.0,     0.1,     0.1,     0.1,   12.07,   12.87,    7.69,   12.78,
820,2011-01-17,,    25.5,    31.1,     3.7,     4.2,    -2.0,     1.5,      65,    20.4,    22.1,    10.7,     0.7,     1.2,     2.0,     0.1,     0.1,     0.1,   11.97,   12.89,    7.59,   12.77,
820,2011-01-18,,    25.5,    31.1,    -3.2,     4.7,    -3.1,     2.0,      64,    22.6,    23.0,    10.9,     0.7,     1.1,     1.9,     0.1,     0.1,     0.1,   13.17,   13.37,    7.68,   12.78,
820,2011-01-19,,    25.5,    31.1,     1.1,     2.0,    -4.1,    -1.2,      63,    21.7,    22.9,    11.4,     0.7,     1.1,     1.9,     0.1,     0.1,     0.1,   12.65,   13.35,    7.88,   12.79,
820,2011-01-20,,    26.3,    32.0,   -12.3,     1.3,   -12.5,    -5.1,      67,    21.5,    22.8,    10.9,     0.7,     1.1,     1.9,     0.1,     0.1,     0.1,   12.57,   13.29,    7.68,   12.73,
820,2011-01-21,,    26.3,    32.0,    -4.7,    -2.7,   -12.6,    -8.8,      66,    21.2,    22.6,    11.3,     0.7,     1.1,     1.9,     0.1,     0.1,     0.1,   12.40,   13.18,    7.83,   12.74,
820,2011-01-22,,    26.3,    32.0,    -2.5,     2.8,    -8.0,    -3.3,      66,    21.2,    22.5,    10.7,     0.7,     1.1,     1.9,     0.1,     0.1,     0.1,   12.40,   13.09,    7.61,   12.76,
820,2011-01-23,,    26.5,    32.4,   -10.1,    -1.0,   -10.8,    -4.5,      68,    21.3,    22.8,    11.1,     0.7,     1.1,     1.9,     0.1,     0.1,     0.1,   12.45,   13.26,    7.76,   12.77,
820,2011-01-24,,    26.5,    32.4,    -2.3,    -1.5,   -12.3,    -6.7,      68,    21.3,    22.5,    10.9,     0.7,     1.1,     1.8,     0.1,     0.1,     0.1,   12.44,   13.11,    7.70,   12.76,
820,2011-01-25,,    26.5,    32.4,    -6.5,     0.1,    -7.6,    -4.5,      68,    21.0,    22.6,    11.1,     0.7,     1.1,     1.8,     0.1,     0.1,     0.1,   12.30,   13.15,    7.76,   12.77,
820,2011-01-26,,    26.8,    32.6,    -5.5,     0.2,    -7.6,    -4.7,      71,    20.9,    22.7,    10.7,     0.6,     1.1,     1.8,     0.1,     0.1,     0.1,   12.25,   13.21,    7.61,   12.75,
820,2011-01-27,,    26.8,    32.6,    -7.7,     2.6,    -7.9,    -4.7,      70,    21.0,    22.3,    10.7,     0.6,     1.1,     1.8,     0.1,     0.1,     0.1,   12.32,   13.00,    7.61,   12.74,
820,2011-01-28,,    26.8,    32.6,    -1.8,     6.3,    -8.1,    -2.0,      69,    20.7,    22.2,    10.7,     0.6,     1.1,     1.8,     0.1,     0.1,     0.2,   12.13,   12.92,    7.59,   12.76,
