Sample,Date,long,lat,elev.m,snow.temp,ug.L,rmse BC,d18O.correct,dD.correct,dexcess correct,Notes
180,20/4/18,-35.000526,75.999895,2542,-19,3.339539673,1.09,-32.07322536,-253.6285163,2.957286612,soft snow
148,26/4/18,-43.842803,78.976109,2396,-26,3.562902569,1.09,-29.5446986,-231.8119028,4.545686013,sastrugi*
186,30/4/18,-48.486472,81.288962,553,-15,5.08905829,1.09,-35.476164,-273.4537746,10.35553739,tip of glacier
87,20/4/18,46.219715,61.748863,NA,-11,2.873354676,1.09,-23.51735948,-183.9617387,4.17713718,NA
178,23/4/18,-24.814908,74.207942,2223,-30,2.892795491,1.09,-23.9649953,-185.6821682,6.03779418,sastrugi*
120,30/4/18,-45.23,80.327853,1969,-28,2.62100666,1.09,-40.23531487,-314.3900533,7.49246571,NA
92,5/5/18,-38.850101,72.682113,3179,-32,2.478135992,1.09,-39.13114599,-308.0935154,4.955652531,"summit camp, firm"
154,5/4/18,-34.567893,73.416627,3111,-20,2.299762893,1.09,-38.98773252,-310.1041988,1.797661405,very soft
10,5/1/18,-41.546182,76.863511,2345,-27,2.413055097,1.09,-39.03904018,-301.1140658,11.19825568,NA
12,28/4/18,-37.999558,77.734655,NA,-33,2.436525955,1.09,-37.01630093,-295.0966271,1.033780307,NA
79,6/5/18,44.334367,69.109659,2267,-35,2.664694013,1.09,-29.63090108,-232.5149748,4.532233893,"firm, drifted, ice-like"
