Sample_ID,Latitude,Longitude,Elev.m,Depth.cm,d18O,dD,d.ex,ug.L
R34a,40.38914,-111.64125,3251,0,-15.22965769019718,-113.89641443818813,7.940847083389315,176.74300093478584
R34b,40.38914,-111.64125,3251,8,-15.124570505562687,-115.53700659853367,5.459557445967832,113.26698634859764
R34c,40.38914,-111.64125,3251,16,-16.86239229834127,-129.07099987126034,5.828138515469817,43.372172277894414
R34d,40.38914,-111.64125,3251,24,-15.48514183022431,-115.17496993069985,8.70616471109463,191.34924426460293
R34e,40.38914,-111.64125,3251,32,-14.12995397351771,-105.56925168546748,7.4703801026741985,15.586025825636387
R34f,40.38914,-111.64125,3251,40,-14.094479559912589,-103.29049586111465,9.465340618186062,19.99620184534998
R34g,40.38914,-111.64125,3251,48,-13.865149506198549,-102.8880665750578,8.033129474530583,13.859569874315671
R34h,40.38914,-111.64125,3251,56,-14.517932776831787,-106.58901657196559,9.554445642688705,23.614727098166707
R34i,40.38914,-111.64125,3251,64,-14.77154649882495,-109.93176584979359,8.240606140806008,22.290473549230878
R34j,40.38914,-111.64125,3251,72,-14.849164303094627,-110.11838281545825,8.674931609298767,34.785850437335334
R34k,40.38914,-111.64125,3251,80,-15.050078413414065,-112.34417270733813,8.056454599974387,17.086324101235093
R34l,40.38914,-111.64125,3251,88,-14.934563176054246,-110.85542104581991,8.621084362614056,45.82577218621427
R34m,40.38914,-111.64125,3251,96,-14.994675803578739,-110.90429982433477,9.053106604295138,18.277603299452906
R34n,40.38914,-111.64125,3251,104,-15.567832133026213,-115.92373505859605,8.618922005613655,37.63337376711248
R34o,40.38914,-111.64125,3251,112,-16.26162311040675,-121.44727047781709,8.645714405436905,16.19351931713365
R34p,40.38914,-111.64125,3251,120,-16.11794439455199,-119.94864054235438,8.994914614061543,24.08374354275421
R34q,40.38914,-111.64125,3251,128,-16.18745284519527,-120.14550209373263,9.354120667829534,17.413086661090862
R34r,40.38914,-111.64125,3251,136,-14.955030498880081,-110.2868881512759,9.353355839764745,10.09354515001256
